store_name,street,city,state,zip,final_zip_pred,Population,Zip,County,AverageMbps,FastestAverageMbps
Trader Joe's Santa Barbara (59),222 North Milpas Street,Santa Barbara,CA,93103,0.0876575199258904,20249.0,93103,Santa Barbara,114.22,290.81
Trader Joe's Schaumburg (705),1426 E Golf Rd,Schaumburg,IL,60173,0.1356976577991716,12217.0,60173,Cook,53.26,122.4
Trader Joe's Torrance - Hawthorne Blvd (121),19720 Hawthorne Blvd,Torrance,CA,90503,0.0841149258495268,44383.0,90503,Los Angeles,103.68,232.02
Trader Joe's Oak Park (697),483 N Harlem Ave,Oak Park,IL,60301,0.0524108823961415,2539.0,60301,Cook,14.13,28.33
Trader Joe's Greensboro (750),3721 Battleground Ave.,Greensboro,NC,27410,0.0981023098779516,52388.0,27410,Guilford,90.2,246.14
Trader Joe's Surprise (92),14095 W Grand Ave,Surprise,AZ,85374,0.2271592509572911,47146.0,85374,Maricopa,88.69,242.3
Trader Joe's Santa Fe (165),530 W Cordova Rd,Santa Fe,NM,87505,0.0705520353987457,31013.0,87505,Santa Fe,52.83,174.27
Trader Joe's Clovis (180),1077 N Willow Ave,Clovis,CA,93611,0.2048947876548127,45614.0,93611,Fresno,120.27,361.97
Trader Joe's Batavia (689),1942 W Fabyan Pkwy,Batavia,IL,60510,0.0811191771258493,28897.0,60510,Kane,140.15,292.02
Trader Joe's St. Paul (716),484 Lexington Pkwy S,St. Paul,MN,55105,0.0309923714431205,28455.0,55105,Ramsey,82.18,197.78
Trader Joe's 72nd & Broadway (542),2073 Broadway,New York,NY,10023,0.0398676981584194,60998.0,10023,New York,162.84,334.11
Trader Joe's N Scottsdale (87),7555 E Frank Lloyd Wright,Scottsdale,AZ,85260,0.1214610842619129,36056.0,85260,Maricopa,148.05,365.18
Trader Joe's Grand Rapids - Kentwood (707),3684 28th St SE,Kentwood,MI,49512,0.1916824237075267,15448.0,49512,Kent,56.63,113.92
Trader Joe's Columbia (658),6610 Marie Curie Dr,Elkridge,MD,21075,0.0772299226536048,26344.0,21075,Howard,142.22,469.46
Trader Joe's Denville (617),3056 State Route 10 West,Denville,NJ,07834,0.0574208871045833,17722.0,07834,Morris,102.33,230.87
Trader Joe's Huntington Beach (47),18681 Main St,Huntington Beach,CA,92648,0.08827408532929801,45317.0,92648,Orange,120.43,232.1
Trader Joe's Marlton (631),300 P Route 73 S,Marlton,NJ,08053,0.0849056312793999,45538.0,08053,Burlington,126.58,353.23
Trader Joe's Castro Valley (84),22224 Redwood Rd,Castro Valley,CA,94546,0.0530749434767958,42209.0,94546,Alameda,95.91,237.91
Trader Joe's Manhattan Beach Blvd (34),1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,0.0555826409481905,35135.0,90266,Los Angeles,130.15,293.3
